"Table 2.  Energy Consumption by Sector and Source"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=2-AEO2020&sourcekey=0"
"Thu Nov 05 2020 11:07:22 GMT-0600 (Central Standard Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2019-2050)"
Net Coal Coke Imports,"Energy Use: Total: Net Coal Coke Imports": Reference case,2-AEO2020.142.ref2020-d112119a,"quads",-0.0165,-0.0206,-0.019509,-0.026991,-0.02241,-0.022492,-0.020909,-0.020172,-0.019275,-0.018486,-0.017832,-0.017357,-0.016965,-0.016597,-0.016265,-0.015993,-0.015854,-0.015728,-0.015602,-0.015435,-0.01528,-0.015145,-0.015059,-0.014961,-0.014877,-0.0148,-0.014726,-0.014648,-0.014646,-0.014584,-0.014565,-0.014571,"-0.4%"
Coal Subtotal,"Energy Use: Total: Coal Subtotal": Reference case,2-AEO2020.143.ref2020-d112119a,"quads",11.249906,10.258844,9.692323,9.344917,8.750343,8.628566,8.145056,8.559067,8.54111,8.518984,8.481165,8.459363,8.403361,8.385563,8.449744,8.376008,8.278006,8.216822,8.203781,8.111191,8.057528,8.031966,7.995693,7.965323,7.935738,7.933951,7.896763,7.962496,7.953084,7.944196,7.91083,7.936447,"-1.1%"
Nuclear / Uranium,"Energy Use: Total: Nuclear": Reference case,2-AEO2020.144.ref2020-d112119a,"quads",8.444715,8.296324,8.161823,8.00919,8.031043,8.063392,7.822189,7.098251,7.101179,7.104901,7.108607,7.115708,7.126846,7.134424,6.972309,6.798795,6.813493,6.82442,6.826629,6.828832,6.828832,6.739802,6.752901,6.762374,6.679939,6.687841,6.696404,6.700862,6.705318,6.708094,6.711448,6.716295,"-0.7%"
Biofuels Heat and Coproducts,"Energy Use: Total: Biofuels Heat and Coproducts": Reference case,2-AEO2020.145.ref2020-d112119a,"quads",0.90236,0.889303,0.873474,0.86843,0.856749,0.85,0.842719,0.842631,0.845147,0.851838,0.850617,0.854061,0.855437,0.857013,0.858548,0.860185,0.861477,0.864167,0.867164,0.870213,0.87395,0.879242,0.885231,0.890945,0.896643,0.898263,0.900782,0.901143,0.908122,0.915052,0.921984,0.932056,"0.1%"
Renewable Energy,"Energy Use: Total: Renewable Energy": Reference case,2-AEO2020.146.ref2020-d112119a,"quads",8.936873,9.339602,9.911914,10.713395,11.292252,11.56979,12.017796,12.148606,12.361008,12.566269,12.862583,13.287792,13.42779,13.450406,13.497938,13.546157,13.795533,13.991113,14.137606,14.318235,14.485491,14.688715,14.937541,15.229637,15.586857,15.961166,16.374783,16.668718,16.937588,17.126102,17.338421,17.566345,"2.2%"
Hydrogen,"Energy Use: Total: Hydrogen": Reference case,2-AEO2020.147.ref2020-d112119a,"quads",0.000286,0.000411,0.000503,0.000594,0.000682,0.000769,0.000855,0.000943,0.001031,0.001122,0.001214,0.001309,0.001405,0.001502,0.001601,0.001706,0.001816,0.001929,0.002049,0.002176,0.002307,0.002447,0.002602,0.002758,0.00292,0.003082,0.003248,0.00342,0.003598,0.003783,0.003977,0.004177,"9.0%"
Non-biogenic Municipal Waste,"Energy Use: Total: Non-biogenic Municipal Waste": Reference case,2-AEO2020.148.ref2020-d112119a,"quads",0.11591,0.11591,0.11591,0.11591,0.11591,0.11591,0.11591,0.11591,0.11591,0.11591,0.11591,0.11591,0.11591,0.11591,0.11591,0.11591,0.11591,0.11591,0.11591,0.11591,0.11591,0.11591,0.11591,0.11591,0.11591,0.11591,0.11591,0.11591,0.11591,0.11591,0.11591,0.11591,"0.0%"
Electricity Imports,"Energy Use: Total: Electricity Imports": Reference case,2-AEO2020.149.ref2020-d112119a,"quads",0.165071,0.206281,0.191069,0.175761,0.169513,0.177045,0.165441,0.170052,0.182907,0.189388,0.186427,0.19518,0.187085,0.194813,0.194816,0.203609,0.201712,0.196974,0.195821,0.194533,0.195509,0.194809,0.196438,0.19504,0.193638,0.1922,0.191246,0.186864,0.184707,0.182075,0.180675,0.179234,"0.3%"
Total,"Energy Use: Total: Total": Reference case,2-AEO2020.150.ref2020-d112119a,"quads",99.995895,99.590919,100.213173,100.294846,100.112839,100.011032,99.575409,99.262604,99.076424,99.208275,99.390205,99.552834,99.791862,100.033096,100.155571,100.469681,100.789177,101.06987,101.505432,101.861115,102.247986,102.717323,103.279602,103.887566,104.497559,105.192444,105.955933,106.71389,107.54744,108.346718,109.152367,109.924568,"0.3%"
Energy Use & Related Statistics,,2-AEO2020.152.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delivered Energy Use,"Energy Use & Related Statistics: Delivered Energy Use": Reference case,2-AEO2020.153.ref2020-d112119a,"quads",75.379845,75.554932,76.081116,76.449196,76.625748,76.688759,76.712479,76.731583,76.573608,76.674713,76.780304,76.843193,77.002258,77.186798,77.263458,77.56263,77.79686,77.981667,78.315247,78.597435,78.909592,79.297028,79.726135,80.177887,80.647354,81.158493,81.72007,82.25296,82.879959,83.495132,84.120895,84.68792,"0.4%"
Total Energy Use,"Energy Use & Related Statistics: Total Energy Use": Reference case,2-AEO2020.154.ref2020-d112119a,"quads",99.995895,99.590919,100.213173,100.294846,100.112839,100.011032,99.575409,99.262604,99.076424,99.208275,99.390205,99.552834,99.791862,100.033096,100.155571,100.469681,100.789177,101.06987,101.505432,101.861115,102.247986,102.717323,103.279602,103.887566,104.497559,105.192444,105.955933,106.71389,107.54744,108.346718,109.152367,109.924568,"0.3%"
Ethanol Consumed in Motor Gasoline and E85,"Energy Use & Related Statistics: Ethanol Consumed in Motor Gasoline and E85": Reference case,2-AEO2020.155.ref2020-d112119a,"quads",1.216441,1.216441,1.233596,1.223026,1.202428,1.181172,1.166813,1.151298,1.137564,1.129924,1.123841,1.118516,1.114993,1.111564,1.109087,1.106659,1.103582,1.102418,1.101572,1.100681,1.100686,1.102838,1.105837,1.108852,1.113876,1.127163,1.138973,1.146333,1.152016,1.159809,1.168979,1.180182,"-0.1%"
Population (millions),"Energy Use & Related Statistics: Population": Reference case,2-AEO2020.156.ref2020-d112119a,"millions",330.987396,333.336029,335.673431,337.995819,340.296906,342.573395,344.823608,347.048645,349.241241,351.397125,353.525024,355.612091,357.641174,359.622833,361.557129,363.444702,365.286713,367.084839,368.841064,370.557465,372.236481,373.880707,375.493317,377.077637,378.637451,380.177277,381.701904,383.215393,384.720886,386.222626,387.724487,389.217316,"0.5%"
Gross Domestic Product (billion 2012 dollars),"Energy Use & Related Statistics: Gross Domestic Product": Reference case,2-AEO2020.157.ref2020-d112119a,"billion 2012 $",19061.34375,19432.189453,19772.775391,20104.107422,20391.568359,20761.357422,21173.669922,21592.767578,22032.205078,22498.564453,22986.494141,23482.892578,23967.220703,24447.822266,24910.955078,25369.457031,25815.714844,26262.140625,26715.667969,27174.589844,27651.148438,28162.882812,28685.140625,29216.587891,29769.355469,30318.931641,30876.527344,31438.802734,32015.296875,32595.296875,33181.980469,33758.839844,"1.9%"
Carbon Dioxide Emissions (million metric,,2-AEO2020.158.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tons carbon dioxide),"Energy Use & Related Statistics: Carbon Dioxide Emissions": Reference case,2-AEO2020.159.ref2020-d112119a,"MMmtCO2",5123.012695,4992.90625,4957.211426,4908.510254,4836.733398,4796.384766,4732.554688,4755.10791,4724.15625,4707.555176,4693.909668,4673.908203,4670.533203,4674.796387,4683.522461,4698.275391,4691.456055,4685.138672,4694.732422,4695.247559,4700.542969,4715.011719,4727.994141,4738.625,4753.035156,4766.530273,4781.827148,4806.894531,4834.006348,4864.505371,4892.406738,4921.927734,"-0.1%"
